model,feature,rf_importance,perm_importance_mean,perm_importance_std,n,target
bm25,avg_token_length,0.13517300405363272,0.3479693779071476,0.0033535346983767918,21058,doc_score
bm25,char_count,0.08827445752432862,0.3198186404834221,0.0023715940748282273,21058,doc_score
bm25,lexical_diversity,0.1386697802391946,0.464440422000275,0.003303518507293611,21058,doc_score
bm25,flesch_kincaid_grade,0.12901684479025116,0.3412187773563734,0.0031289475947431948,21058,doc_score
bm25,sentence_count,0.3827860596187023,0.9023561125564097,0.0058823722122725896,21058,doc_score
bm25,word_count,0.1260798537738905,0.8968548107173937,0.005153287434189973,21058,doc_score
hybrid,avg_token_length,0.12179162695080194,0.282894508337232,0.00211605279629257,21058,doc_score
hybrid,char_count,0.11029838237134784,0.24899464255156661,0.0011417115009987485,21058,doc_score
hybrid,lexical_diversity,0.10716806646943393,0.30686788333105997,0.0018905546623299958,21058,doc_score
hybrid,flesch_kincaid_grade,0.10685501899455478,0.21659484292165715,0.0014970993808801829,21058,doc_score
hybrid,sentence_count,0.2951460372296509,0.8129491368302426,0.0026923466128907824,21058,doc_score
hybrid,word_count,0.2587408679842107,0.624614363854033,0.002174629086586018,21058,doc_score
pagerank,avg_token_length,0.21623880192227454,1.9764799992023199,0.21732157462198776,21058,doc_score
pagerank,char_count,0.1910951527770329,2.435952509745127,0.09577588668116069,21058,doc_score
pagerank,lexical_diversity,0.18787781972697412,0.6238013793923013,0.019484179230348782,21058,doc_score
pagerank,flesch_kincaid_grade,0.1222171683417942,0.2951934412177966,0.016127045757338063,21058,doc_score
pagerank,sentence_count,0.15250422119946913,1.1404122771737613,0.11138531361131901,21058,doc_score
pagerank,word_count,0.1300668360324551,0.49306434289462187,0.01040385286248864,21058,doc_score
semantic,avg_token_length,0.14891269458490808,0.3474702186474326,0.0014842085367917836,21058,doc_score
semantic,char_count,0.17809775266203598,0.3837256282924134,0.0012078895709261115,21058,doc_score
semantic,lexical_diversity,0.1350020858132686,0.37752885288739907,0.0020002557730853113,21058,doc_score
semantic,flesch_kincaid_grade,0.13870958080698342,0.29385597702877436,0.0021652854593345846,21058,doc_score
semantic,sentence_count,0.2412704589963784,0.7850183752138474,0.0029730504427126552,21058,doc_score
semantic,word_count,0.1580074271364256,0.46137167455029804,0.00158035589652097,21058,doc_score
