model,feature,rf_importance,perm_importance_mean,perm_importance_std,n,target
bm25,avg_token_length,0.14133913117707786,0.36579714864704027,0.003562087018974195,21058,doc_score
bm25,char_count,0.08891079127839446,0.3097039288528299,0.0021881696158178973,21058,doc_score
bm25,lexical_diversity,0.13901628181895853,0.46558057709482437,0.003413613121899347,21058,doc_score
bm25,flesch_kincaid_grade,0.13277497461834498,0.3605448961549787,0.003031344188531733,21058,doc_score
bm25,sentence_count,0.37252963153340807,0.8521852158600061,0.00493812615721984,21058,doc_score
bm25,word_count,0.12542918957381602,0.8919905485952395,0.005474771211619266,21058,doc_score
hybrid,avg_token_length,0.12123389331650028,0.2869631690098185,0.002206585899046683,21058,doc_score
hybrid,char_count,0.1127799554234128,0.25069417201911454,0.0010654432535697471,21058,doc_score
hybrid,lexical_diversity,0.1082183116112612,0.30540873913502253,0.0017229241254794916,21058,doc_score
hybrid,flesch_kincaid_grade,0.10749602783362976,0.2232657271036465,0.0015800161902243825,21058,doc_score
hybrid,sentence_count,0.28387030290919685,0.7907985369127856,0.0028865489117367218,21058,doc_score
hybrid,word_count,0.2664015089059991,0.6643174123850449,0.002029348029279807,21058,doc_score
pagerank,avg_token_length,0.21623880207609292,1.9764800013919757,0.21732157504696603,21058,doc_score
pagerank,char_count,0.1910951529155218,2.435952500541282,0.09577588662810518,21058,doc_score
pagerank,lexical_diversity,0.1878778195936737,0.6238013712253961,0.019484178942577556,21058,doc_score
pagerank,flesch_kincaid_grade,0.12221716811997681,0.29519344146305615,0.016127045752776552,21058,doc_score
pagerank,sentence_count,0.15250422121785243,1.1404122779888444,0.11138531401797686,21058,doc_score
pagerank,word_count,0.13006683607688224,0.4930643397725274,0.010403852958307234,21058,doc_score
semantic,avg_token_length,0.1485219610962559,0.34684215046602873,0.0014544209033192461,21058,doc_score
semantic,char_count,0.17584342115422336,0.38166782405670263,0.0015836443998969078,21058,doc_score
semantic,lexical_diversity,0.1350017086556098,0.373439478070644,0.0017055883772506431,21058,doc_score
semantic,flesch_kincaid_grade,0.13823857222539893,0.2931137582639567,0.002043666313768433,21058,doc_score
semantic,sentence_count,0.2440604483287742,0.76905344235797,0.0028549341077193906,21058,doc_score
semantic,word_count,0.15833388853973787,0.4784105953653244,0.0016695092139054999,21058,doc_score
