model,feature,corr_with_rank,corr_with_score,n
bm25,avg_token_length,0.13344682426690485,-0.11904873967063612,21058
bm25,char_count,-0.6954064640895415,0.6289995051047237,21058
bm25,lexical_diversity,0.6211885620050648,-0.558621408270677,21058
bm25,flesch_kincaid_grade,-0.09517018175084405,0.07063592734015667,21058
bm25,sentence_count,-0.6944168691831193,0.6306549020069158,21058
bm25,word_count,-0.6988318960166838,0.632799028121237,21058
sbert,avg_token_length,0.0738929788129821,-0.06964529795282844,21058
sbert,char_count,-0.42153715316575036,0.4036148621499731,21058
sbert,lexical_diversity,0.4046316955770611,-0.3876275274868477,21058
sbert,flesch_kincaid_grade,-0.05916752887199732,0.055522031478552586,21058
sbert,sentence_count,-0.42320223860033235,0.4055628010629006,21058
sbert,word_count,-0.421997894202997,0.4041066527715348,21058
